energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity
0.733,0.202,88.043,0.049,0.0184,1.89e-05,4,0.64,8,144438,-3.127,0.369,1,Zach Hood,Just Kids,48
0.722,0.307,93.491,0.217,0.142,0.0,4,0.373,1,183723,-5.654,0.574,0,James Arthur,Deja Vu,68
0.478,0.186,110.001,0.0437,0.052,0.0275,4,0.864,9,128771,-7.229,0.479,1,Lolo Zouaï,Scooter,51
0.4,0.0871,127.3,0.026,0.456,0.00137,4,0.611,2,319288,-11.388,0.263,1,Radiohead,Follow Me Around,57
0.531,0.192,88.009,0.0477,0.266,1.8e-06,4,0.747,8,184768,-5.99,0.785,1,Dijon,The Dress,61
0.517,0.127,84.996,0.058,0.0961,0.0,4,0.752,11,131373,-8.303,0.647,0,Trevor Daniel,Dadada,60
0.331,0.12,180.827,0.241,0.631,0.000148,4,0.386,10,206040,-9.706,0.322,1,Lauren Jauregui,On Guard (feat. 6lack),63
0.75,0.741,147.979,0.0401,0.0908,0.0485,4,0.573,10,139837,-9.716,0.301,0,Ethan Bortnick,cut my fingers off,56
0.755,0.0989,155.973,0.0354,0.00838,0.0,4,0.464,4,216764,-5.707,0.449,1,Thomas Rhett,Slow Down Summer,68
0.325,0.155,126.877,0.127,0.509,0.0,4,0.79,4,163311,-11.689,0.539,1,Russell Dickerson,She Likes It (feat. Jake Scott),58
0.728,0.0982,92.062,0.0416,0.0942,0.0,4,0.505,4,235435,-3.492,0.239,0,Little Mix,Between Us,71
0.848,0.347,114.96,0.0518,0.0313,1.58e-06,4,0.617,11,197045,-2.825,0.473,0,Amy Allen,RIP,46
0.743,0.143,149.868,0.0605,0.0534,0.0,4,0.548,3,141466,-5.673,0.696,0,Max Leone,Repeat Caller,42
0.724,0.353,148.457,0.358,0.318,0.0,4,0.45,0,170887,-5.592,0.671,1,PnB Rock,HIGH,58
0.687,0.403,88.001,0.0295,0.385,0.00394,4,0.477,2,170333,-6.469,0.724,1,ABBA,When You Danced With Me,73
0.704,0.0758,120.008,0.036,0.00675,0.000137,4,0.533,11,246587,-7.902,0.219,0,Frances Forever,Certified Fool,45
0.618,0.351,82.03,0.0437,0.0558,0.0,4,0.627,2,197443,-8.529,0.848,1,Bruno Mars,Smokin Out The Window,82
0.543,0.274,134.917,0.0517,0.0193,0.0,4,0.772,10,165422,-7.078,0.357,0,French Montana,Panicking,63
0.594,0.175,119.984,0.104,0.563,0.0,4,0.889,10,123200,-6.593,0.758,0,2 Chainz,Wreck (feat. Big Sean),61
0.906,0.1,121.997,0.0369,0.0842,0.00834,4,0.559,4,234098,-2.819,0.444,0,Bob Moses,Time and Time Again - Single Edit,57
0.733,0.084,130.019,0.261,0.0793,1.99e-06,4,0.939,11,134951,-4.374,0.614,0,Yella Beezy,I Guess,50
0.792,0.0671,130.012,0.0356,0.0695,0.000242,4,0.78,11,264758,-5.572,0.937,0,Ozuna,Señor Juez,67
0.736,0.257,109.979,0.0451,0.024,0.0,4,0.68,0,181799,-3.211,0.77,1,Thomas Headon,Strawberry Kisses,49
