energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity,success
0.775,0.108,126.984,0.108,0.277,0.0,4,0.817,10,234334,-4.767,0.806,0,Wiz Khalifa,The Thrill,79,1
0.611,0.116,185.727,0.0467,0.0228,0.0,3,0.41,4,184448,-8.271,0.0899,0,Elley Duhé,MIDDLE OF THE NIGHT,67,1
0.56,0.115,162.794,0.143,0.0909,0.0,4,0.599,0,168391,-8.569,0.394,0,Irina Rimes,Pentru totdeauna,50,1
0.708,0.0771,150.976,0.24,0.418,0.0,4,0.698,1,156013,-6.118,0.621,0,Sobel,Bandyta,66,1
0.683,0.322,92.014,0.0703,0.196,6.41e-05,4,0.776,9,180248,-4.078,0.726,1,Duki,Ley de Atracción,75,1
0.736,0.0748,175.93,0.15,0.157,0.000781,4,0.822,1,181107,-3.969,0.679,1,KAROL G,SEJODIOTO,86,1
0.658,0.118,164.005,0.233,0.0425,0.0,4,0.815,11,155041,-5.515,0.622,0,RIN,FYM,66,1
0.608,0.178,132.507,0.0387,0.00165,0.0,4,0.75,1,173347,-4.008,0.958,1,Måneskin,I WANNA BE YOUR SLAVE,90,1
0.641,0.114,100.759,0.0712,0.352,9.77e-05,4,0.579,7,176400,-6.688,0.166,1,Eladio Carrion,Sauce Boy Freestyle 5,68,1
0.0774,0.0802,116.071,0.0578,0.923,0.0,4,0.754,1,215172,-20.617,0.701,1,nân,Tình Đắng Như Ly Cà Phê,55,1
0.609,0.219,151.932,0.146,0.00674,0.000182,4,0.776,5,177415,-9.298,0.71,0,Sons Of Zion,Love on the Run (feat. Jackson Owens),56,1
0.575,0.0639,113.057,0.138,0.405,0.0,4,0.858,9,141361,-8.996,0.777,1,Sarettii,SOM DOM,72,1
0.66,0.0636,137.668,0.381,0.734,0.0,1,0.611,4,267797,-6.49,0.582,0,Santa Fe Klan,Todo Va a Estar Bien,77,1
0.653,0.123,125.87,0.0301,0.207,1.19e-06,4,0.532,2,208947,-7.046,0.431,1,Miro Žbirka,Biely kvet,32,1
0.672,0.1,125.011,0.0451,0.0167,0.0104,4,0.704,1,195518,-7.633,0.655,1,Molly Sandén,Vi ska aldrig gå hem,61,1
0.691,0.113,160.338,0.181,0.073,0.0,4,0.681,4,169671,-6.684,0.644,0,Bresh,Angelina Jolie,74,1
0.47,0.0918,78.974,0.0334,0.401,0.0,4,0.534,1,243987,-7.688,0.326,1,C AllStar,留下來的人,57,1
0.571,0.146,135.023,0.314,0.08,0.0,4,0.938,9,147227,-8.507,0.783,1,Niska,Le monde est méchant,62,1
0.764,0.103,169.928,0.0483,0.0383,0.0,4,0.591,1,141806,-5.484,0.478,1,The Kid LAROI,STAY (with Justin Bieber),92,1
0.84,0.129,140.024,0.061,0.225,0.0,4,0.538,8,255347,-6.384,0.718,0,Model,Pembe Mezarlık,67,1
0.652,0.0588,140.504,0.37,0.133,0.0,4,0.794,8,198857,-3.156,0.391,1,Apache 207,Thunfisch & Weinbrand,70,1
0.48,0.134,122.875,0.0324,0.713,0.0,4,0.598,5,242647,-8.073,0.382,1,陳卓賢 Ian,鯨落,56,1
0.897,0.364,126.026,0.0348,0.0469,3.14e-05,4,0.808,11,231041,-3.712,0.591,0,Ed Sheeran,Bad Habits,96,1
0.454,0.161,81.009,0.0306,0.836,0.0643,1,0.515,4,221218,-10.119,0.458,0,Albin Lee Meldau,Josefin,42,1
0.751,0.19,115.046,0.124,0.0685,0.000598,4,0.891,2,144019,-3.15,0.711,1,Tokischa,Linda,82,1
0.408,0.104,111.979,0.0318,0.162,0.000351,4,0.681,4,162540,-10.498,0.213,0,Kubilay Karça,Üzerime Kalır,60,1
0.528,0.0765,126.945,0.0323,0.277,0.0,4,0.58,11,179460,-8.221,0.281,1,Victor Leksell,Eld & lågor,72,1
0.8,0.0915,116.032,0.0309,0.0354,7.25e-05,4,0.795,1,202735,-6.32,0.934,1,Elton John,Cold Heart - PNAU Remix,82,1
0.612,0.461,179.629,0.363,0.835,0.0,4,0.594,8,168020,-6.627,0.687,0,BoyWithUke,Toxic,75,1
0.725,0.0987,119.926,0.162,0.467,0.0,4,0.717,6,176000,-6.287,0.645,0,Guzior,BLUEBERRY,64,1
0.405,0.108,122.049,0.0302,0.503,6.86e-06,4,0.488,8,254863,-6.324,0.152,0,Mahalini,Sisa Rasa,67,1
0.945,0.171,150.059,0.0434,0.0309,8.82e-06,4,0.531,6,212987,-8.45,0.829,1,Arttu Wiskari,Kankaanpään tori (feat. Mira Luoti) [Vain elämää kausi 12],60,1
0.403,0.146,122.967,0.0326,0.818,1.7e-06,4,0.518,0,254476,-8.311,0.194,1,Hoang Dung,Nàng Thơ,57,1
0.437,0.218,108.678,0.0867,0.839,0.0,4,0.456,8,171743,-11.156,0.209,1,dhruv,double take,75,1
0.939,0.424,102.999,0.0669,0.00138,0.0,4,0.625,4,194787,-3.115,0.644,0,Måneskin,ZITTI E BUONI,80,1
0.864,0.087,123.833,0.0378,0.0682,0.0,4,0.626,8,161387,-3.12,0.555,1,Becky Hill,Remember (and David Guetta),72,1
0.41,0.126,143.034,0.455,0.372,0.000595,4,0.92,11,171741,-9.497,0.861,1,Wren Evans,Thích Em Hơi Nhiều,59,1
0.394,0.075,112.995,0.081,0.0214,0.121,4,0.744,5,416333,-14.188,0.154,0,De Mthuda,Emlanjeni,40,1
0.999,0.245,145.911,0.325,0.112,0.0,4,0.46,11,151415,-1.307,0.779,1,Rebzyyx,all I want is you,56,1
0.761,0.0272,121.999,0.144,0.192,0.0,4,0.815,4,200219,-7.162,0.82,0,A.R. Rahman,Param Sundari,74,1
0.425,0.322,102.078,0.0333,0.584,0.0,3,0.357,5,198040,-7.301,0.27,1,Conan Gray,Heather,86,1
0.297,0.18,113.989,0.0334,0.938,0.0839,3,0.639,7,211483,-11.18,0.292,1,GANGGA,Blue Jeans,76,1
0.764,0.357,116.982,0.0462,0.00803,0.0,4,0.746,2,231883,-6.833,0.701,1,Fujii Kaze,きらり,76,1
0.783,0.144,135.981,0.0317,0.245,0.0,4,0.445,7,237000,-4.879,0.347,0,Dear Jane,人類不宜飛行,59,1
0.519,0.172,122.925,0.0326,0.557,0.000268,4,0.562,3,341055,-8.744,0.415,1,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")",68,1
0.43,0.114,172.557,0.0611,0.84,0.0,3,0.395,11,217145,-8.953,0.384,1,Terence Lam,難道喜歡處女座 (Alter Ego),55,1
0.741,0.337,124.925,0.0427,0.00544,0.0,4,0.702,9,187585,-5.33,0.646,1,BTS,Permission to Dance,80,1
0.709,0.331,164.032,0.134,0.296,0.0,4,0.499,10,214621,-6.404,0.314,1,BTS,Film out,79,1
